Company Name,Type,Logo_url_T1,Logo_url_T2,Logo_url_T3,Logo_url_T4
Atlas Property investors,Company,https://i.ibb.co/Bf6WM0y/Atlas-Logo.png,https://i.ibb.co/Bf6WM0y/Atlas-Logo.png,https://i.ibb.co/gPv0Y1G/Atlas-Logo-with-White-Borderline.png,https://i.ibb.co/gPv0Y1G/Atlas-Logo-with-White-Borderline.png
Atlas Property investors,cred_logo_1,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png
Atlas Property investors,cred_logo_2,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png
Atlas Property investors,cred_logo_3,https://i.ibb.co/wcvQ52K/Google-with-White-Borderline.png,https://i.ibb.co/wcvQ52K/Google-with-White-Borderline.png,https://i.ibb.co/wcvQ52K/Google-with-White-Borderline.png,https://i.ibb.co/wcvQ52K/Google-with-White-Borderline.png
Atlas Property investors,cred_logo_4,https://i.ibb.co/Zf2F4sd/Years-in-Business-Atlas-White.png,https://i.ibb.co/gD1bzfQ/Years-in-Business-Atlas-Dark.png,https://i.ibb.co/Zf2F4sd/Years-in-Business-Atlas-White.png,https://i.ibb.co/gD1bzfQ/Years-in-Business-Atlas-Dark.png
BBPOCO,Company,https://i.ibb.co/vHQzjhV/BBPOCO-Logo.png,https://i.ibb.co/vHQzjhV/BBPOCO-Logo.png,https://i.ibb.co/94sM2FK/BBPOCO-Logo-with-White-Borderline.png,https://i.ibb.co/94sM2FK/BBPOCO-Logo-with-White-Borderline.png
BBPOCO,cred_logo_1,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png
BBPOCO,cred_logo_2,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png
BBPOCO,cred_logo_3,https://i.ibb.co/z4YD3X2/Google-White-Border.png,https://i.ibb.co/z4YD3X2/Google-White-Border.png,https://i.ibb.co/z4YD3X2/Google-White-Border.png,https://i.ibb.co/z4YD3X2/Google-White-Border.png
BBPOCO,cred_logo_4,https://i.ibb.co/cw9kykk/Years-in-Business-BBPOCO-White.png,https://i.ibb.co/pWKwZNB/Years-in-Business-BBPOCO-Dark.png,https://i.ibb.co/cw9kykk/Years-in-Business-BBPOCO-White.png,https://i.ibb.co/pWKwZNB/Years-in-Business-BBPOCO-Dark.png
